r1,r2,r3,r4
edge,industry,pharmaceutical_plants,
edge,food_processing_plants,atmospheric_emissions_transport_and_deposition,
edge,food_processing_plants,landfills,
edge,food_processing_plants,direct_effluent_discharges,
edge,pharmaceutical_plants,landfills,
edge,pharmaceutical_plants,direct_effluent_discharges,
edge,pharmaceutical_plants,atmospheric_emissions_transport_and_deposition,
edge,coal_fired_power_plants,direct_effluent_discharges,
edge,coal_fired_power_plants,atmospheric_emissions_transport_and_deposition,
edge,coal_fired_power_plants,landfills,
edge,other_industrial_facilities,direct_effluent_discharges,
edge,other_industrial_facilities,atmospheric_emissions_transport_and_deposition,
edge,other_industrial_facilities,landfills,
edge,direct_effluent_discharges,increased_ammonia_inputs,
edge,decreased_ammonia_volatilization,increased_ammonia_in_water,
edge,decreased_ammonia_volatilization,increased_ammonia_in_sediment,
edge,decreased_nitrogen_uptake,increased_ammonia_inputs,
edge,decreased_nitrogen_uptake,increased_ammonia_in_water,
edge,decreased_nitrogen_uptake,increased_ammonia_in_sediment,
edge,increased_ammonia_inputs,increased_ammonia_in_water,
edge,increased_ammonia_inputs,increased_ammonia_in_sediment,
edge,increased_ammonia_in_water,increased_ammonia_in_sediment,
edge,increased_ammonia_in_water,increased_ionized_ammonia,
edge,increased_ammonia_in_water,increased_unionized_ammonia,
edge,increased_ammonia_in_water,increased_nutrients,
edge,increased_ammonia_in_water,nitrogen_cycle,
edge,increased_ammonia_in_sediment,increased_ammonia_in_water,
edge,increased_ammonia_in_sediment,increased_ionized_ammonia,
edge,increased_ammonia_in_sediment,increased_unionized_ammonia,
edge,increased_ammonia_in_sediment,increased_nutrients,
edge,increased_ammonia_in_sediment,nitrogen_cycle,
edge,nitrogen_cycle,increased_ammonia_in_water,
edge,nitrogen_cycle,increased_ammonia_in_sediment,
edge,nitrogen_cycle,increased_nutrients,
edge,increased_nutrients,nitrogen_cycle,
edge,increased_nutrients,increased_BOD,
edge,increased_BOD,decreased_dissolved_oxygen,
edge,decreased_dissolved_oxygen,nitrogen_cycle,
edge,increased_ionized_ammonia,increased_unionized_ammonia,
edge,increased_ionized_ammonia,increased_ammonia_fluctuation,
edge,increased_ionized_ammonia,decreased_N_excretion,
edge,increased_ionized_ammonia,increased_diffusion_across_gill_membrane,
edge,increased_unionized_ammonia,increased_ionized_ammonia,
edge,increased_unionized_ammonia,increased_ammonia_fluctuation,
edge,increased_unionized_ammonia,decreased_N_excretion,
edge,increased_unionized_ammonia,increased_diffusion_across_gill_membrane,
edge,change_in_pH,increased_ionized_ammonia,
edge,change_in_pH,increased_unionized_ammonia,
edge,increased_ammonia_fluctuation,decreased_N_excretion,
edge,increased_ammonia_fluctuation,increased_diffusion_across_gill_membrane,
edge,increased_tolerance,decreased_N_excretion,
edge,increased_tolerance,increased_diffusion_across_gill_membrane,
edge,increased_toxicity,decreased_N_excretion,
edge,increased_toxicity,increased_diffusion_across_gill_membrane,
edge,increased_ionic_strength,increased_tolerance,
edge,increased_temperature,increased_toxicity,
edge,decreased_N_excretion,increased_ammonia_in_organism,
edge,increased_diffusion_across_gill_membrane,increased_ammonia_in_organism,
edge,increased_ammonia_in_organism,decreased_immune_function,
edge,increased_ammonia_in_organism,increased_acidosis,
edge,increased_ammonia_in_organism,decreased_osmoregulatory_function,
edge,increased_ammonia_in_organism,decreased_nervous_system_function,
edge,increased_ammonia_in_organism,decreased_respiratory_function,
edge,increased_ammonia_in_organism,decreased_ATP_production,
edge,decreased_osmoregulatory_function,decreased_internal_Na,
edge,decreased_osmoregulatory_function,decreased_condition,
edge,decreased_osmoregulatory_function,decreased_growth,
edge,decreased_osmoregulatory_function,change_in_behavior,
edge,decreased_osmoregulatory_function,increased_susceptibility_to_other_stressors,
edge,decreased_immune_function,decreased_condition,
edge,decreased_immune_function,decreased_growth,
edge,decreased_immune_function,change_in_behavior,
edge,decreased_immune_function,increased_susceptibility_to_other_stressors,
edge,increased_acidosis,decreased_condition,
edge,increased_acidosis,decreased_growth,
edge,increased_acidosis,change_in_behavior,
edge,increased_acidosis,increased_susceptibility_to_other_stressors,
edge,decreased_internal_Na,decreased_condition,
edge,decreased_internal_Na,decreased_growth,
edge,decreased_internal_Na,change_in_behavior,
edge,decreased_internal_Na,increased_susceptibility_to_other_stressors,
edge,decreased_nervous_system_function,decreased_condition,
edge,decreased_nervous_system_function,decreased_growth,
edge,decreased_nervous_system_function,change_in_behavior,
edge,decreased_nervous_system_function,increased_susceptibility_to_other_stressors,
edge,decreased_oxygen_binding_to_hemoglobin,decreased_condition,
edge,decreased_oxygen_binding_to_hemoglobin,decreased_growth,
edge,decreased_oxygen_binding_to_hemoglobin,change_in_behavior,
edge,decreased_oxygen_binding_to_hemoglobin,increased_susceptibility_to_other_stressors,
edge,increased_asphyxiation,decreased_condition,
edge,increased_asphyxiation,decreased_growth,
edge,increased_asphyxiation,change_in_behavior,
edge,increased_asphyxiation,increased_susceptibility_to_other_stressors,
edge,decreased_ATP_production,decreased_condition,
edge,decreased_ATP_production,decreased_growth,
edge,decreased_ATP_production,change_in_behavior,
edge,decreased_ATP_production,increased_susceptibility_to_other_stressors,
edge,decreased_respiratory_function,decreased_oxygen_binding_to_hemoglobin,
edge,decreased_respiratory_function,increased_asphyxiation,
edge,decreased_respiratory_function,decreased_condition,
edge,decreased_respiratory_function,decreased_growth,
edge,decreased_respiratory_function,change_in_behavior,
edge,decreased_respiratory_function,increased_susceptibility_to_other_stressors,
edge,increased_other_stressors,increased_susceptibility_to_other_stressors,
edge,decreased_condition,increased_gill_lamellae,
edge,decreased_condition,increased_blood_vessel_lesions,
edge,decreased_condition,increased_gill_damage,
edge,decreased_condition,increased_fin_erosion,
edge,decreased_condition,increased_other_symptoms,
edge,decreased_condition,increased_organ_damage,
edge,decreased_condition,increased_mucous_secretion,
edge,change_in_behavior,increased_hyperventilation,
edge,change_in_behavior,increased_hyperexcitability,
edge,change_in_behavior,increased_convulsions,
edge,change_in_behavior,increased_coma,
edge,change_in_behavior,change_in_other_behaviors,
edge,increased_gill_lamellae,increased_mortality,
edge,increased_gill_lamellae,decreased_reproductive_success,
edge,increased_blood_vessel_lesions,increased_mortality,
edge,increased_blood_vessel_lesions,decreased_reproductive_success,
edge,increased_gill_damage,increased_mortality,
edge,increased_gill_damage,decreased_reproductive_success,
edge,increased_fin_erosion,increased_mortality,
edge,increased_fin_erosion,decreased_reproductive_success,
edge,increased_other_symptoms,increased_mortality,
edge,increased_other_symptoms,decreased_reproductive_success,
edge,increased_organ_damage,increased_mortality,
edge,increased_organ_damage,decreased_reproductive_success,
edge,increased_mucous_secretion,increased_mortality,
edge,increased_mucous_secretion,decreased_reproductive_success,
edge,decreased_growth,increased_mortality,
edge,decreased_growth,decreased_reproductive_success,
edge,increased_hyperventilation,increased_mortality,
edge,increased_hyperventilation,decreased_reproductive_success,
edge,increased_hyperexcitability,increased_mortality,
edge,increased_hyperexcitability,decreased_reproductive_success,
edge,increased_convulsions,increased_mortality,
edge,increased_convulsions,decreased_reproductive_success,
edge,increased_coma,increased_mortality,
edge,increased_coma,decreased_reproductive_success,
edge,change_in_other_behaviors,increased_mortality,
edge,change_in_other_behaviors,decreased_reproductive_success,
edge,increased_susceptibility_to_other_stressors,increased_mortality,
edge,increased_susceptibility_to_other_stressors,decreased_reproductive_success,
edge,increased_mortality,change_in_population_and_community_structure,
edge,decreased_reproductive_success,change_in_population_and_community_structure,
edge,change_in_population_and_community_structure,change_in_ecosystem_processes,
edge,change_in_population_and_community_structure,decreased_unionid_mussels,
edge,change_in_population_and_community_structure,decreased_Nitrosomonas_and_Nitrobacter,
edge,change_in_population_and_community_structure,decreased_fish,
edge,change_in_population_and_community_structure,decreased_other_sensitive_taxa,
edge,change_in_population_and_community_structure,decreased_sensitive_life_stages,
edge,change_in_population_and_community_structure,decreased_richness_or_diversity,
edge,change_in_population_and_community_structure,increased_tolerant_taxa,
edge,change_in_population_and_community_structure,increased_tolerant_life_stages,
edge,change_in_population_and_community_structure,change_in_other_characteristics,
